Time,Open,High,Low,Last,Change,Volume
8/15/2011,25.005,25.065,24.67,24.955,0.14,13811000
8/12/2011,24.98,25.02,24.4,24.815,0.125,19985600
8/11/2011,23.45,24.925,23.31,24.69,1.245,28687800
8/10/2011,24.265,24.305,23.375,23.445,-0.835,27219600
8/9/2011,24.255,24.455,23.145,24.28,0.25,38987600
8/8/2011,24.66,25.065,23.78,24.03,-1.085,36827400
8/5/2011,24.64,25.365,24.225,25.115,0.73,34275400
8/4/2011,24.935,25.16,24.37,24.385,-0.76,32124600
8/3/2011,25.035,25.18,24.68,25.145,0.045,19335600
8/2/2011,25.14,25.225,24.935,25.1,-0.135,19245600
8/1/2011,25.81,25.81,25.075,25.235,-0.425,18618400
7/29/2011,25.69,25.8,25.58,25.66,-0.15,16314200
7/28/2011,25.92,26.06,25.78,25.81,-0.105,9910800
7/27/2011,25.98,26.09,25.875,25.915,-0.175,13838800
7/26/2011,26.33,26.34,26.07,26.09,-0.2,11726800
7/25/2011,26.35,26.6,26.245,26.29,-0.185,14030400
7/22/2011,26.465,26.515,26.335,26.475,0.05,9925200
7/21/2011,26.41,26.54,26.295,26.425,0.225,13984800
7/20/2011,26.6,26.62,25.955,26.2,-0.245,17941600
7/19/2011,26.305,26.46,26.145,26.445,0.175,11823000
7/18/2011,26.465,26.515,26.135,26.27,-0.25,10716400
7/15/2011,26.645,26.71,26.4,26.52,-0.06,11235800
7/14/2011,26.37,26.665,26.355,26.58,0.195,12534000
7/13/2011,26.49,26.67,26.3,26.385,-0.26,14011200
7/12/2011,26.535,26.775,26.38,26.645,0.055,14524800
7/11/2011,26.47,26.605,26.425,26.59,-0.075,10743000
7/8/2011,26.625,26.725,26.465,26.665,-0.105,10304800
7/7/2011,26.745,26.8,26.62,26.77,0.13,9864800
7/6/2011,26.635,26.72,26.58,26.64,0.06,7147000
7/5/2011,26.55,26.65,26.465,26.58,0.03,10095400
7/1/2011,26.275,26.55,26.195,26.55,0.24,11091400
6/30/2011,26.37,26.395,26.16,26.31,0.23,11581800
6/29/2011,26.15,26.16,25.99,26.08,-0.045,10834800
6/28/2011,26.08,26.18,26.01,26.125,0.175,10172800
6/27/2011,25.92,26.07,25.82,25.95,0.075,9170800
6/24/2011,25.94,25.94,25.735,25.875,-0.085,10394200
6/23/2011,25.88,26.015,25.605,25.96,-0.08,13848600
6/22/2011,26.045,26.175,26.025,26.04,-0.09,9128800
6/21/2011,26.11,26.24,26.025,26.13,0.12,10708000
6/20/2011,25.845,26.09,25.78,26.01,0.17,11146600
6/17/2011,25.875,26.11,25.82,25.84,0.185,17560600
6/16/2011,25.655,25.715,25.545,25.655,0,13008800
6/15/2011,25.565,25.83,25.52,25.655,0.01,13477800
6/14/2011,25.79,25.865,25.57,25.645,-0.055,17215000
6/13/2011,25.62,25.82,25.58,25.7,0.25,15457000
6/10/2011,25.675,25.735,25.45,25.45,-0.315,14957600
6/9/2011,25.78,26.055,25.685,25.765,0,13870200
6/8/2011,25.625,25.805,25.575,25.765,0.075,11507600
6/7/2011,25.65,25.885,25.57,25.69,0.18,14437800
6/6/2011,25.545,25.615,25.44,25.51,-0.03,11818200
6/3/2011,25.46,25.645,25.31,25.54,-0.085,12806000
6/2/2011,25.935,25.94,25.52,25.625,-0.335,17779200
6/1/2011,26.09,26.235,25.875,25.96,-0.165,13408000
5/31/2011,25.96,26.14,25.825,26.125,0.35,22749000
5/27/2011,26.06,26.125,25.685,25.775,-0.295,18698800
5/26/2011,26.46,26.545,25.78,26.07,-0.415,36412800
5/25/2011,26.655,26.685,26.36,26.485,-0.18,12097400
5/24/2011,26.71,26.77,26.495,26.665,0.04,8922400
5/23/2011,26.48,26.745,26.42,26.625,-0.13,12406000
5/20/2011,26.695,26.955,26.465,26.755,0.045,14889200
5/19/2011,26.985,27,26.56,26.71,-0.2,12249600
5/18/2011,26.82,26.975,26.77,26.91,0.16,14001200
5/17/2011,26.825,26.95,26.555,26.75,-0.25,13679200
5/16/2011,26.74,27.095,26.7,27,0.255,14512200
5/13/2011,26.745,27.12,26.62,26.745,-0.02,16131200
5/12/2011,26.525,26.875,26.375,26.765,0.24,16131400
5/11/2011,26.45,26.675,26.42,26.525,0.105,15327400
5/10/2011,26.385,26.455,26.305,26.42,0.09,7875200
5/9/2011,26.255,26.375,26.13,26.33,0.07,11581000
5/6/2011,26.39,26.435,26.155,26.26,-0.025,11398800
5/5/2011,26.47,26.47,26.175,26.285,-0.185,12921400
5/4/2011,26.435,26.5,26.39,26.47,0.045,13961200
5/3/2011,26.15,26.45,26.075,26.425,0.13,20623600
5/2/2011,26.1,26.365,26.05,26.295,0.275,15332200
4/29/2011,26.16,26.19,25.95,26.02,-0.125,11425000
4/28/2011,26.025,26.175,25.965,26.145,0.055,12097200
4/27/2011,25.88,26.125,25.8,26.09,0.205,14026400
4/26/2011,25.585,25.92,25.495,25.885,0.225,14651600
4/25/2011,25.75,25.835,25.35,25.66,-0.24,15370800
4/21/2011,25.415,26.48,25.32,25.9,0.5,37031600
4/20/2011,25.96,25.99,25.025,25.4,-0.145,26154400
4/19/2011,25.53,25.615,25.455,25.545,-0.095,16141400
4/18/2011,25.79,25.795,25.43,25.64,-0.31,22067200
4/15/2011,25.68,25.985,25.555,25.95,0.45,26252200
4/14/2011,25.17,25.575,25.14,25.5,0.275,15498200
4/13/2011,25.28,25.515,25.16,25.225,-0.29,14613200
4/12/2011,25.41,25.725,25.3,25.515,0.06,20214000
4/11/2011,25.25,25.52,25.2,25.455,0.21,14970600
4/8/2011,25.27,25.35,25.16,25.245,0,11651600
4/7/2011,25.275,25.325,25.07,25.245,-0.095,11698400
4/6/2011,25.04,25.365,25.015,25.34,0.345,16167600
4/5/2011,25.175,25.24,24.99,24.995,-0.13,13722400
4/4/2011,24.995,25.235,24.875,25.125,0.44,20709400
4/1/2011,24.6,24.7,24.525,24.685,0.16,12751000
3/31/2011,24.525,24.725,24.405,24.525,0.045,19705800
3/30/2011,24.3,24.58,24.265,24.48,0.29,18773600
3/29/2011,24,24.19,23.95,24.19,0.15,14727400
3/28/2011,24.065,24.095,24,24.04,0.025,9079600
3/25/2011,24.08,24.115,23.81,24.015,-0.04,17222800
3/24/2011,24.07,24.07,23.865,24.055,0.06,13554800
3/23/2011,23.975,24.015,23.64,23.995,0.015,12351200
3/22/2011,23.995,24.08,23.825,23.98,-0.035,13107200
3/21/2011,24.1,24.115,23.915,24.015,0.06,11729600
3/18/2011,23.785,24.17,23.745,23.955,0.325,18312800
3/17/2011,23.595,23.65,23.375,23.63,0.275,18053400
3/16/2011,23.76,23.77,23.25,23.355,-0.47,20623200
3/15/2011,23.71,23.9,23.565,23.825,-0.285,25240400
3/14/2011,24.155,24.16,23.985,24.11,-0.12,12285600
3/11/2011,24.22,24.375,24.015,24.23,-0.02,14324800
3/10/2011,24.405,24.47,24.2,24.25,-0.285,18643400
3/9/2011,24.375,24.565,24.28,24.535,0.185,12942600
3/8/2011,24.235,24.42,24.225,24.35,0.1,11329800
3/7/2011,24.395,24.45,24.14,24.25,-0.095,13886000
3/4/2011,24.135,24.475,24.13,24.345,0.17,22198400
3/3/2011,23.965,24.2,23.92,24.175,0.335,16768400
3/2/2011,23.73,23.84,23.59,23.84,0.09,14543600
3/1/2011,24.06,24.15,23.715,23.75,-0.3,18391000
2/28/2011,23.95,24.28,23.835,24.05,0.23,24193000
2/25/2011,23.62,23.865,23.505,23.82,0.22,23110400
2/24/2011,23.265,23.61,23.175,23.6,0.365,25963000
2/23/2011,23.485,23.495,23.175,23.235,-0.25,20605800
2/22/2011,23.275,23.585,23.235,23.485,0.045,22838800
2/18/2011,23.175,23.445,23.14,23.44,0.28,19476000
2/17/2011,23.1,23.21,23.03,23.16,0.03,13726000
2/16/2011,23.42,23.42,23.08,23.13,-0.245,18302400
2/15/2011,23.02,23.4,22.845,23.375,0.385,24242600
2/14/2011,22.86,23.025,22.8,22.99,0.21,16962400
2/11/2011,22.68,22.825,22.64,22.78,0.035,16454600
2/10/2011,22.725,22.84,22.69,22.745,-0.025,15669800
2/9/2011,22.71,22.89,22.675,22.77,-0.035,15188200
2/8/2011,22.795,22.87,22.715,22.805,-0.04,19401400
2/7/2011,23.08,23.08,22.715,22.845,-0.215,22695000
2/4/2011,23,23.1,22.865,23.06,0.06,19863200
2/3/2011,22.88,23.07,22.81,23,0.135,16511200
2/2/2011,22.635,22.895,22.555,22.865,0.25,25208600
2/1/2011,22.59,22.725,22.54,22.615,0.035,26615200
1/31/2011,22.925,22.96,22.535,22.58,-0.165,33271800
1/28/2011,23.18,23.25,22.67,22.745,-0.445,34950200
1/27/2011,23.335,23.395,23.05,23.19,-0.185,35526600
1/26/2011,24.075,24.1,23.375,23.375,-0.605,41414000
1/25/2011,24.08,24.1,23.895,23.98,-0.105,19208200
1/24/2011,23.95,24.1,23.935,24.085,0.125,14903000
1/21/2011,24.055,24.085,23.91,23.96,-0.02,16620200
1/20/2011,23.68,23.98,23.655,23.98,0.315,22493200
1/19/2011,23.645,23.855,23.605,23.665,0.065,18662000
1/18/2011,23.425,23.635,23.315,23.6,0.155,22385400
1/14/2011,23.675,23.73,23.39,23.445,-0.24,22124200
1/13/2011,23.9,23.9,23.63,23.685,-0.105,14049000
1/12/2011,23.91,23.915,23.765,23.79,-0.13,19005600
1/11/2011,24.09,24.09,23.83,23.92,-0.05,15013600
1/10/2011,24.15,24.22,23.905,23.97,-0.215,28239800
1/7/2011,24.07,24.225,24.015,24.185,0.1,20732800
1/6/2011,24.25,24.31,23.89,24.085,-0.05,31161000
1/5/2011,24.11,24.41,24.035,24.135,0,27199200
1/4/2011,24.02,24.16,23.9,24.135,0.225,18067000
1/3/2011,24.095,24.145,23.885,23.91,-0.045,18280600
12/31/2010,23.86,24.09,23.72,23.955,0.17,11097400
12/30/2010,23.735,23.85,23.685,23.785,0.075,9024200
12/29/2010,23.67,23.775,23.625,23.71,0.015,9268800
12/28/2010,23.765,23.775,23.615,23.695,0.005,15114400
12/27/2010,23.86,23.9,23.65,23.69,-0.215,13237800
12/23/2010,23.865,24.015,23.855,23.905,-0.015,10402400
12/22/2010,24.06,24.095,23.9,23.92,-0.08,14087200
12/21/2010,24.09,24.215,23.93,24,-0.135,15539800
12/20/2010,24.28,24.385,24.065,24.135,-0.065,12322800
12/17/2010,24.31,24.31,23.98,24.2,-0.08,20727800
12/16/2010,24.085,24.31,23.91,24.28,0.22,14570600
12/15/2010,24.035,24.185,23.88,24.06,0.035,15717000
12/14/2010,23.745,24.025,23.675,24.025,0.285,17666400
12/13/2010,23.84,23.88,23.565,23.74,-0.07,19842200
12/10/2010,23.615,23.835,23.555,23.81,0.245,17611000
12/9/2010,23.43,23.6,23.375,23.565,0.2,15622800
12/8/2010,23.465,23.515,23.2,23.365,-0.08,21246600
12/7/2010,23.575,23.615,23.4,23.445,-0.015,19180800
12/6/2010,23.75,23.75,23.4,23.46,-0.225,22039400
12/3/2010,23.785,23.825,23.56,23.685,-0.12,15246200
12/2/2010,23.575,23.825,23.535,23.805,0.3,17851400
12/1/2010,23.445,23.585,23.35,23.505,0.25,19425200
11/30/2010,23.045,23.285,23.015,23.255,0.01,18069400
11/29/2010,23.38,23.45,23.1,23.245,-0.155,19853400
11/26/2010,23.51,23.51,23.38,23.4,-0.08,6078200
11/24/2010,23.605,23.705,23.425,23.48,0.005,14806000
11/23/2010,23.585,23.6,23.425,23.475,-0.15,17921600
11/22/2010,23.775,23.785,23.36,23.625,-0.075,18477400
11/19/2010,23.82,23.87,23.6,23.7,-0.11,22846800
11/18/2010,23.965,23.985,23.6,23.81,-0.09,24453000
11/17/2010,23.915,24.055,23.855,23.9,0.07,14698800
11/16/2010,24.02,24.115,23.78,23.83,-0.25,20865600
11/15/2010,24.445,24.625,24.04,24.08,-0.21,27561600
11/12/2010,24.78,24.8,24.24,24.29,-0.6,26160000
11/11/2010,24.89,25.075,24.845,24.89,-0.195,17414600
11/10/2010,24.935,25.085,24.73,25.085,0.06,14934200
11/9/2010,25.24,25.28,24.945,25.025,-0.2,17204800
11/8/2010,25.465,25.465,25.11,25.225,-0.235,13235000
11/5/2010,25.43,25.53,25.305,25.46,0.02,13192200
11/4/2010,25.685,25.79,25.36,25.44,-0.08,18533600
11/3/2010,25.43,25.595,25.3,25.52,0.08,11554800
11/2/2010,25.395,25.53,25.355,25.44,0.14,15090400
11/1/2010,25.79,25.82,25.16,25.3,-0.36,19820000
10/29/2010,25.89,25.93,25.465,25.66,-0.215,20481600
10/28/2010,25.92,26.065,25.68,25.875,0.055,13052200
10/27/2010,26.17,26.17,25.515,25.82,-0.525,19614600
10/26/2010,26.195,26.345,26.16,26.345,0.09,7974800
10/25/2010,26.425,26.615,26.23,26.255,-0.025,12513000
10/22/2010,26.475,26.475,26.175,26.28,-0.14,7072600
10/21/2010,26.34,26.545,26.245,26.42,0.21,14712600
10/20/2010,26.09,26.275,25.835,26.21,-0.225,21789000
10/19/2010,26.61,26.725,26.25,26.435,-0.4,14828200
10/18/2010,26.59,26.835,26.525,26.835,0.25,12276600
10/15/2010,26.685,26.875,26.555,26.585,-0.02,15857200
10/14/2010,26.605,26.635,26.41,26.605,0.015,11858400
10/13/2010,26.7,26.76,26.555,26.59,-0.165,12211400
10/12/2010,26.4,26.81,26.355,26.755,0.35,33563000
10/11/2010,26.45,26.46,26.29,26.405,0,9917600
10/8/2010,26.275,26.465,26.205,26.405,0.115,30639400
10/7/2010,26.595,26.615,26.22,26.29,-0.2,32259200
10/6/2010,26.485,26.61,26.33,26.49,-0.05,9835200
10/5/2010,26.385,26.585,26.345,26.54,0.285,12514000
10/4/2010,26.285,26.455,26.085,26.255,-0.035,10720800
10/1/2010,26.27,26.29,26.06,26.29,0.17,9518000
9/30/2010,26.215,26.43,26.05,26.12,-0.125,12893400
9/29/2010,26.19,26.285,26.055,26.245,0.055,10821200
9/28/2010,26.105,26.24,25.96,26.19,0.14,9197800
9/27/2010,25.975,26.13,25.895,26.05,0.08,9824600
9/24/2010,25.995,26.165,25.875,25.97,0.17,13147000
9/23/2010,25.775,25.965,25.75,25.8,-0.195,8614200
9/22/2010,26.105,26.215,25.93,25.995,-0.08,10241800
9/21/2010,26.18,26.18,25.875,26.075,-0.055,11499600
9/20/2010,25.8,26.195,25.765,26.13,0.31,10723200
9/17/2010,25.89,25.965,25.765,25.82,0.015,14469000
9/16/2010,25.705,25.89,25.5,25.805,-0.025,11089000
9/15/2010,25.68,25.875,25.575,25.83,0.125,9173200
9/14/2010,25.71,25.815,25.555,25.705,-0.02,11140400
9/13/2010,25.895,25.895,25.615,25.725,-0.045,9756200
9/10/2010,25.625,25.795,25.545,25.77,0.225,8881200
9/9/2010,25.475,25.66,25.475,25.545,0.32,10447200
9/8/2010,25.245,25.44,25.175,25.225,-0.02,11144200
9/7/2010,25.25,25.395,25.175,25.245,-0.125,9294200
9/3/2010,25.47,25.495,25.125,25.37,0.065,9560800
9/2/2010,25.105,25.315,25.105,25.305,0.17,9933800
9/1/2010,24.86,25.305,24.86,25.135,0.465,14114000
8/31/2010,24.6,24.725,24.51,24.67,-0.075,14070400
8/30/2010,24.945,25.045,24.745,24.745,-0.175,8328400
8/27/2010,24.78,24.95,24.505,24.92,0.17,9063800
8/26/2010,25.025,25.025,24.685,24.75,-0.16,10950800
8/25/2010,24.59,25.025,24.575,24.91,0.17,15110200
8/24/2010,24.645,24.89,24.535,24.74,-0.15,17917200
8/23/2010,24.775,25.09,24.775,24.89,0.22,14432400
8/20/2010,24.52,24.715,24.465,24.67,0.01,12814600
8/19/2010,25.08,25.105,24.52,24.66,-0.455,20437400
8/18/2010,25.315,25.36,25.11,25.115,-0.23,12277000
8/17/2010,25.25,25.445,25.125,25.345,0.175,12087800
8/16/2010,25.025,25.215,24.885,25.17,0.14,9592000
8/13/2010,25.06,25.13,24.955,25.03,-0.165,10175800
8/12/2010,24.955,25.27,24.865,25.195,0,8837800
8/11/2010,25.515,25.555,25.135,25.195,-0.54,12643200
8/10/2010,25.335,25.85,25.295,25.735,0.295,17933200
8/9/2010,25.315,25.475,25.215,25.44,0.155,8996800
8/6/2010,24.855,25.34,24.855,25.285,0.295,15989800
8/5/2010,24.965,25.04,24.86,24.99,-0.1,11794200
8/4/2010,24.99,25.135,24.895,25.09,0.09,12337800
8/3/2010,24.955,25.305,24.88,25,0.085,18156800
8/2/2010,24.855,25,24.81,24.915,0.375,15019000
7/30/2010,24.36,24.68,24.15,24.54,0.05,15640000
7/29/2010,24.72,24.885,24.465,24.49,-0.12,17692800
7/28/2010,24.655,24.74,24.425,24.61,-0.025,13713200
7/27/2010,24.75,24.75,24.48,24.635,0.015,9273000
7/26/2010,24.41,24.685,24.41,24.62,0.155,11836200
7/23/2010,24.49,24.58,24.29,24.465,-0.04,17446400
7/22/2010,24.51,24.77,24.18,24.505,0.165,21507400
7/21/2010,23.865,24.69,22.295,24.34,0.605,28391600
7/20/2010,23.565,23.775,23.43,23.735,0.03,15815000
7/19/2010,23.705,23.79,23.625,23.705,0.17,8400000
7/16/2010,23.955,24.07,23.51,23.535,-0.475,18276600
7/15/2010,23.93,24.055,23.84,24.01,0.085,11595000
7/14/2010,23.765,23.93,23.585,23.925,0.09,11104000
7/13/2010,23.89,23.945,23.81,23.835,-0.075,13840600
7/12/2010,24.05,24.05,23.8,23.91,-0.105,11493600
7/9/2010,24.08,24.08,23.76,24.015,-0.035,10399800
7/8/2010,23.95,24.075,23.84,24.05,0.195,14674200
7/7/2010,23.37,23.885,23.295,23.855,0.51,18243800
7/6/2010,23.39,23.485,23.155,23.345,0.115,19222800
7/2/2010,23.24,23.38,23.11,23.23,0,11355400
7/1/2010,23.275,23.33,22.855,23.23,-0.16,17239400
6/30/2010,23.33,23.62,23.09,23.39,0.065,20524600
6/29/2010,23.5,23.5,23.125,23.325,-0.265,16681000
6/28/2010,23.625,23.8,23.52,23.59,-0.005,10913200
6/25/2010,23.81,23.82,23.55,23.595,-0.135,27504600
6/24/2010,23.69,23.93,23.615,23.73,-0.05,14095400
6/23/2010,24.02,24.08,23.69,23.78,-0.215,12976400
6/22/2010,24.16,24.35,23.975,23.995,-0.155,11883800
6/21/2010,24.58,24.615,24.025,24.15,-0.235,15232200
6/18/2010,24.43,24.5,24.2,24.385,0.07,17981200
6/17/2010,24.42,24.425,24.125,24.315,-0.08,15693800
6/16/2010,23.895,24.435,23.835,24.395,0.31,18814400
6/15/2010,23.77,24.105,23.72,24.085,0.42,19137000
6/14/2010,23.72,23.825,23.64,23.665,0.065,13592200
6/11/2010,23.545,23.7,23.41,23.6,0,11809400
6/10/2010,23.19,23.735,23.17,23.6,0.67,18371200
6/9/2010,23.195,23.275,22.865,22.93,-0.225,17539400
6/8/2010,23.04,23.21,22.835,23.155,0.04,21839600
6/7/2010,23.17,23.31,23.095,23.115,-0.15,18629200
6/4/2010,23.52,23.55,23.185,23.265,-0.6,20575600
6/3/2010,23.875,23.91,23.735,23.865,0.125,8687600
6/2/2010,23.5,23.755,23.255,23.74,0.27,17978800
6/1/2010,23.72,23.86,23.45,23.47,-0.31,17514200
5/28/2010,23.885,24.29,23.75,23.78,-0.155,22151600
5/27/2010,23.925,24.06,23.63,23.935,0.35,16100200
5/26/2010,23.78,24,23.47,23.585,-0.03,24506600
5/25/2010,23.51,23.625,23.155,23.615,-0.165,25339000
5/24/2010,23.52,24.025,23.435,23.78,0.31,25876800
5/21/2010,22.74,23.49,22.63,23.47,0.23,33089400
5/20/2010,23.735,23.735,23.235,23.24,-0.73,21725600
5/19/2010,23.935,24.175,23.905,23.97,-0.055,18376200
5/18/2010,24.355,24.465,24,24.025,-0.19,13937400
5/17/2010,24.29,24.385,23.94,24.215,-0.035,14860600
5/14/2010,24.215,24.305,23.89,24.25,-0.055,20017600
5/13/2010,24.555,24.555,24.105,24.305,-0.27,18366200
5/12/2010,24.785,24.795,24.445,24.575,-0.125,17690800
5/11/2010,24.69,24.865,24.62,24.7,-0.145,17132600
5/10/2010,24.9,25.115,24.62,24.845,0.485,20545000
5/7/2010,24.51,24.58,24,24.36,-0.14,24112200
5/6/2010,25.07,25.19,22.8,24.5,-0.575,24998000
5/5/2010,25.11,25.535,24.875,25.075,-0.02,21450400
5/4/2010,25.33,25.43,24.86,25.095,-0.34,20835000
5/3/2010,25.725,25.795,25.275,25.435,-0.145,17595200
4/30/2010,25.425,25.75,25.315,25.58,0.205,21409200
4/29/2010,25.255,25.565,25.17,25.375,0.24,18544600
4/28/2010,24.97,25.21,24.705,25.135,0.25,18622000
4/27/2010,25.14,25.28,24.84,24.885,-0.3,20897600
4/26/2010,25.54,25.885,25.03,25.185,-0.415,18863400
4/23/2010,25.515,25.605,25.135,25.6,0.04,18390000
