Time,Open,High,Low,Last,Change,Volume
12/30/2005,19.735,19.865,19.68,19.715,-0.185,6958800
12/29/2005,20.15,20.215,19.855,19.9,-0.275,7738200
12/28/2005,20.3,20.435,20.165,20.175,-0.025,6665000
12/27/2005,20.5,20.575,20.18,20.2,-0.23,8262600
12/23/2005,20.14,20.5,20.14,20.43,0.06,5445600
12/22/2005,20.225,20.39,20.145,20.37,0.185,7964400
12/21/2005,20.01,20.33,20.01,20.185,0.185,11506800
12/20/2005,20.135,20.35,19.95,20,-0.215,13351600
12/19/2005,20.5,20.5,20.1,20.215,0.13,13018800
12/16/2005,19.7,20.18,19.685,20.085,0.46,14969000
12/15/2005,19.89,20.21,19.535,19.625,-0.11,11986200
12/14/2005,19.69,19.895,19.59,19.735,0,7403400
12/13/2005,19.46,19.875,19.425,19.735,0.15,11138000
12/12/2005,19.4,19.645,19.265,19.585,0.09,10455000
12/9/2005,19.225,19.615,19.21,19.495,0.35,16973600
12/8/2005,19,19.19,18.95,19.145,0.145,11215000
12/7/2005,19.025,19.225,18.905,19,0.065,9075600
12/6/2005,19.215,19.29,18.895,18.935,-0.16,10031400
12/5/2005,19.26,19.295,19,19.095,-0.185,12009600
12/2/2005,19.2,19.57,19.055,19.28,0.465,17878000
12/1/2005,18.77,18.97,18.77,18.815,-0.04,15361400
11/30/2005,19.08,19.195,18.75,18.855,-0.225,17704000
11/29/2005,19.465,19.475,19.08,19.08,-0.395,13969000
11/28/2005,19.5,19.545,19.43,19.475,-0.015,13087800
11/25/2005,19.57,19.65,19.45,19.49,-0.005,4904000
11/23/2005,19.615,19.74,19.41,19.495,-0.165,14871000
11/22/2005,19.975,20.065,19.05,19.66,-0.525,26621400
11/21/2005,20.41,20.425,20.185,20.185,-0.265,8584600
11/18/2005,20.75,20.75,20.31,20.45,0.02,8198800
11/17/2005,20.29,20.5,20.225,20.43,0.14,9048200
11/16/2005,20.55,20.575,19.905,20.29,-0.445,18692400
11/15/2005,20.615,20.87,20.5,20.735,0.475,17781400
11/14/2005,21.78,21.79,20.165,20.26,-1.605,27865000
11/11/2005,21.7,21.925,21.5,21.865,0.465,11541000
11/10/2005,21.415,21.49,21.255,21.4,0.05,8142800
11/9/2005,21.205,21.54,21.08,21.35,0.09,10613400
11/8/2005,21.15,21.33,21.125,21.26,-0.015,6619600
11/7/2005,21.285,21.35,21.125,21.275,-0.01,7669000
11/4/2005,21.475,21.49,21.11,21.285,-0.11,7579400
11/3/2005,21.29,21.455,21.26,21.395,0.075,9961200
11/2/2005,21.215,21.4,21.075,21.32,-0.07,9250000
11/1/2005,21.475,21.645,21.355,21.39,-0.135,6276400
10/31/2005,21.7,21.8,21.35,21.525,0.15,9374200
10/28/2005,21.22,21.4,21.035,21.375,0.155,7127600
10/27/2005,21.505,21.59,21.19,21.22,-0.285,5326400
10/26/2005,21.715,21.87,21.485,21.505,-0.135,6471400
10/25/2005,21.49,21.8,21.45,21.64,0.19,7116000
10/24/2005,21.515,21.605,21.385,21.45,0.075,8317000
10/21/2005,21.73,21.735,21.265,21.375,-0.255,12265000
10/20/2005,21.875,21.95,21.555,21.63,-0.345,13948000
10/19/2005,21.125,22.05,21.025,21.975,0.775,16632200
10/18/2005,21.15,21.38,21.125,21.2,-0.075,8766000
10/17/2005,21.2,21.29,21.025,21.275,-0.045,7387800
10/14/2005,21.16,21.345,21,21.32,0.035,9733600
10/13/2005,20.91,21.41,20.91,21.285,0.235,11972200
10/12/2005,21.025,21.35,20.79,21.05,-0.16,11145400
10/11/2005,21.03,21.325,21,21.21,0.12,7481600
10/10/2005,21.32,21.395,21.085,21.09,-0.26,6573000
10/7/2005,21.51,21.595,21.31,21.35,-0.16,7699800
10/6/2005,21.5,21.625,21.285,21.51,-0.13,13727800
10/5/2005,22.015,22.18,21.625,21.64,-0.365,10212000
10/4/2005,21.5,22.045,21.5,22.005,0.765,20777800
10/3/2005,21.2,21.385,21.105,21.24,0.04,9941400
9/30/2005,20.975,21.27,20.8,21.2,0.155,12173600
9/29/2005,20.95,21.15,20.785,21.045,0.075,12619200
9/28/2005,21.5,21.52,20.85,20.97,-0.395,15152800
9/27/2005,21.45,21.525,21.3,21.365,0.035,11773800
9/26/2005,21.735,21.9,21.19,21.33,-0.78,18844800
9/23/2005,21.99,22.265,21.96,22.11,0.155,9420800
9/22/2005,21.55,22.04,21.545,21.955,0.405,9488200
9/21/2005,21.37,21.725,21.35,21.55,0.005,10943600
9/20/2005,21.655,21.875,21.53,21.545,-0.11,8145800
9/19/2005,21.75,21.76,21.35,21.655,-0.215,9282200
9/16/2005,21.875,21.99,21.725,21.87,0.02,18382600
9/15/2005,22,22.03,21.725,21.85,-0.075,12442800
9/14/2005,22.33,22.36,21.895,21.925,-0.405,10130800
9/13/2005,22.65,22.66,21.9,22.33,-0.285,14093800
9/12/2005,22.605,23.1,22.45,22.615,-0.17,7231000
9/9/2005,22.7,22.875,22.61,22.785,0.09,5435000
9/8/2005,22.9,22.9,22.58,22.695,-0.145,4836400
9/7/2005,22.65,22.945,22.605,22.84,0.19,5721400
