Time,Open,High,Low,Last,Change,Volume
1/6/2010,26.97,27.195,26.925,27.16,0.15,10940600
1/5/2010,27.235,27.235,26.875,27.01,-0.22,10135400
1/4/2010,27.075,27.275,26.96,27.23,0.235,10391400
12/31/2009,27.235,27.325,26.97,26.995,-0.275,5986600
12/30/2009,26.97,27.275,26.95,27.27,0.14,7180800
12/29/2009,27.315,27.465,27.11,27.13,-0.135,8905200
12/28/2009,27.13,27.275,27.03,27.265,0.19,8173000
12/24/2009,27.035,27.21,27.02,27.075,0.03,3038600
12/23/2009,27.11,27.185,26.985,27.045,-0.015,5515400
12/22/2009,27.02,27.145,27.01,27.06,0.1,9715600
12/21/2009,26.79,27.1,26.71,26.96,0.29,11761600
12/18/2009,26.875,26.875,26.5,26.67,-0.12,18819200
12/17/2009,26.88,26.915,26.58,26.79,-0.15,10813600
12/16/2009,27.125,27.225,26.885,26.94,-0.055,10791200
12/15/2009,26.89,27.11,26.76,26.995,0.105,8823600
12/14/2009,26.89,27.155,26.875,26.89,0.005,8983600
12/11/2009,27,27.175,26.825,26.885,-0.15,10693600
12/10/2009,26.785,27.17,26.765,27.035,0.23,12537400
12/9/2009,26.75,26.835,26.57,26.805,0.185,9230200
12/8/2009,26.76,26.82,26.47,26.62,-0.21,11572600
12/7/2009,26.92,27.125,26.81,26.83,-0.06,10673200
12/4/2009,27.285,27.325,26.7,26.89,-0.23,12592400
12/3/2009,27.205,27.345,27.065,27.12,-0.1,10694600
12/2/2009,27.245,27.485,27.12,27.22,-0.02,11118400
12/1/2009,27.425,27.435,27.11,27.24,-0.005,20429600
11/30/2009,27.1,27.275,26.845,27.245,0.205,14092600
11/27/2009,26.745,27.17,26.645,27.04,-0.165,5779600
11/25/2009,27.15,27.295,27.055,27.205,0.085,8373600
11/24/2009,26.61,27.245,26.25,27.12,0.555,17279000
11/23/2009,26.86,26.92,26.49,26.565,-0.255,18658200
11/20/2009,26.625,26.87,26.42,26.82,0.34,12795800
11/19/2009,26.445,26.6,26.285,26.48,-0.11,13483600
11/18/2009,26.655,26.655,26.25,26.59,-0.065,9663600
11/17/2009,26.81,26.81,26.54,26.655,-0.16,11185400
11/16/2009,26.765,26.945,26.57,26.815,0.34,13569800
11/13/2009,26.7,26.75,26.39,26.475,-0.14,11914800
11/12/2009,26.695,26.9,26.505,26.615,-0.015,9560400
11/11/2009,26.71,26.775,26.505,26.63,0.23,12293400
11/10/2009,26.095,26.495,26.075,26.4,0.225,11080200
11/9/2009,25.89,26.2,25.775,26.175,0.41,10430400
11/6/2009,25.725,25.795,25.535,25.765,-0.045,7989400
11/5/2009,25.52,25.885,25.49,25.81,0.355,9977800
11/4/2009,25.25,25.75,25.25,25.455,0.24,11079400
11/3/2009,25.44,25.445,25.035,25.215,-0.24,12347800
11/2/2009,25.415,25.575,25.25,25.455,0.17,11353400
10/30/2009,25.415,25.6,25.2,25.285,-0.145,13994000
10/29/2009,25.51,25.51,25.14,25.43,-0.08,13495200
10/28/2009,25.565,25.795,25.5,25.51,-0.1,11494200
