Date,Transaction,Debit/credit,Running balance,Closing Price,At Sale Price,At Sale Cumulative,Add Closing,Cost Basis,
7/7/2011,PURCHASE,2.835818,146.927257,25.477381,83.66,5186.92,1467.508365,3719.411635,62
5/19/2011,PURCHASE,2.776131,142.847177,25.909201,,,,,
4/6/2011,PURCHASE,4.055356,140.071046,23.687725,,,,,
1/6/2011,PURCHASE,4.174206,131.540803,22.944036,,,,,
11/18/2010,PURCHASE,3.091337,126.2498,22.848076,,,,,
10/6/2010,PURCHASE,2.859261,123.158463,25.419804,,,,,
7/7/2010,PURCHASE,4.335978,116.30049,22.891258,,,,,
4/7/2010,PURCHASE,2.845911,107.866922,25.189501,,,,,
2/19/2010,PURCHASE,2.750426,104.276379,26.091524,,,,,
1/7/2010,PURCHASE,3.685936,101.525953,26.278646,,,,,
11/19/2009,DIVIDEND,0.710598,97.840017,25.410208,,,,,
11/19/2009,PURCHASE,1.864597,97.129419,25.410208,,,,,
10/6/2009,PURCHASE,4.077505,95.264822,24.076365,,,,,
8/20/2009,DIVIDEND,0.788934,91.187317,21.725344,,,,,
8/20/2009,PURCHASE,2.237477,90.398383,21.725344,,,,,
7/7/2009,PURCHASE,2.141433,88.160906,21.754131,,,,,
5/20/2009,DIVIDEND,0.768319,86.019473,20.669785,,,,,
5/20/2009,PURCHASE,1.141972,85.251154,20.669785,,,,,
4/6/2009,PURCHASE,2.156362,84.109182,20.804129,,,,,
2/20/2009,DIVIDEND,0.535682,81.95282,25.923594,,,,,
2/20/2009,PURCHASE,0.924226,81.417138,25.923594,,,,,
1/7/2009,PURCHASE,1.897753,80.492912,24.297071,,,,,
11/20/2008,DIVIDEND,0.497654,78.595159,24.15793,,,,,
11/20/2008,PURCHASE,0.895383,78.097505,24.15793,,,,,
10/6/2008,PURCHASE,1.729831,77.202122,27.06072,,,,,
8/20/2008,DIVIDEND,0.44738,75.472291,27.991531,,,,,
8/20/2008,PURCHASE,0.837476,75.024911,27.991531,,,,,
7/7/2008,PURCHASE,1.853424,74.187435,26.000362,,,,,
5/20/2008,DIVIDEND,0.465634,72.334011,26.235464,,,,,
5/20/2008,PURCHASE,0.911577,71.868377,26.235464,,,,,
4/4/2008,PURCHASE,1.837043,70.9568,26.312231,,,,,
2/21/2008,DIVIDEND,0.394837,69.119757,26.321829,,,,,
2/21/2008,PURCHASE,0.895728,68.72492,26.321829,,,,,
1/7/2008,PURCHASE,1.780519,67.829192,27.588499,,,,,
11/20/2007,DIVIDEND,0.384842,66.048673,26.667284,,,,,
11/20/2007,PURCHASE,0.914548,65.663831,26.667284,,,,,
10/4/2007,PURCHASE,1.840946,64.749283,26.648092,,,,,
8/20/2007,DIVIDEND,0.378631,62.908337,25.136723,,,,,
8/20/2007,PURCHASE,0.946104,62.529706,25.136723,,,,,
7/6/2007,PURCHASE,1.84677,61.583602,25.909201,,,,,
5/18/2007,DIVIDEND,0.323431,59.736832,28.514515,,,,,
5/18/2007,PURCHASE,0.849792,59.413401,28.514515,,,,,
4/5/2007,PURCHASE,1.794356,58.563609,27.358196,,,,,
2/21/2007,DIVIDEND,0.310689,56.769253,25.290258,,,,,
2/21/2007,PURCHASE,0.948378,56.458564,25.290258,,,,,
1/8/2007,GENERIC REVERSAL,-1.016093,55.510186,24.028383,,,,,
1/8/2007,GENERIC REVERSAL,-1.016093,56.526279,24.028383,,,,,
1/8/2007,PURCHASE,1.016093,57.542372,24.028383,,,,,
1/8/2007,PURCHASE,1.016093,56.526279,24.028383,,,,,
1/8/2007,PURCHASE,1.016093,55.510186,24.028383,,,,,
1/8/2007,PURCHASE,1.016093,54.494093,24.028383,,,,,
11/20/2006,PURCHASE,1.065,53.478,22.915249,,,,,
11/20/2006,DIVIDEND,0.327,52.413,22.915249,,,,,
10/5/2006,PURCHASE,3.102,52.086,22.238729,,,,,
8/18/2006,DIVIDEND,0.297,48.984,23.510201,,,,,
7/7/2006,PURCHASE,2.294,48.687,21.01524,,,,,
5/18/2006,PURCHASE,2.357,46.393,20.132408,,,,,
5/18/2006,DIVIDEND,0.304,44.036,20.132408,,,,,
4/6/2006,PURCHASE,1.169,43.732,20.569027,,,,,
2/21/2006,PURCHASE,2.284,42.563,21.106401,,,,,
2/21/2006,DIVIDEND,0.251,40.279,21.106401,,,,,
1/6/2006,PURCHASE,1.266,40.028,19.619022,,,,,
11/18/2005,PURCHASE,1.202,38.762,19.623819,,,,,
11/18/2005,DIVIDEND,0.247,37.56,19.623819,,,,,
10/6/2005,PURCHASE,2.344,37.313,20.640997,,,,,
8/18/2005,PURCHASE,1.072,34.969,22.080397,,,,,
8/18/2005,DIVIDEND,0.199,33.897,22.080397,,,,,
7/7/2005,PURCHASE,2.02,33.698,23.495806,,,,,
5/19/2005,PURCHASE,1.015,31.678,23.529392,,,,,
5/19/2005,DIVIDEND,0.17,30.663,23.529392,,,,,
4/6/2005,PURCHASE,2.134,30.493,22.843279,,,,,
2/18/2005,PURCHASE,1.065,28.359,22.26272,,,,,
2/18/2005,DIVIDEND,0.15,27.294,22.26272,,,,,
11/18/2004,PURCHASE,1.125,25.002,20.808926,,,,,
