evaluation instances,total train time,total train speed,last train time,last train speed,test time,test speed,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.09375,106666.66666666667,0.09375,106666.66666666667,0.0,Infinity,1000.0,89.4,78.79864311315924,78.62903225806453,76.80525164113786,10000.0,20720.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,0.140625,142222.22222222222,0.046875,213333.33333333334,0.0,Infinity,1000.0,87.6,75.16901092563519,74.05857740585773,74.32712215320912,20000.0,41424.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
30000.0,0.171875,174545.45454545456,0.03125,320000.0,0.0,Infinity,1000.0,86.7,73.41850072349645,74.32432432432432,72.34927234927234,30000.0,56952.0,21.0,11.0,11.0,4.0,0.0,0.0,1.0
40000.0,0.21875,182857.14285714287,0.046875,213333.33333333334,0.0,Infinity,1000.0,87.5,75.02697087145881,74.38524590163934,73.84937238493724,40000.0,77352.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
50000.0,0.265625,188235.29411764705,0.046875,213333.33333333334,0.0,Infinity,1000.0,88.1,76.19942878629087,75.05241090146751,75.76374745417516,50000.0,93184.0,35.0,18.0,18.0,5.0,0.0,0.0,1.0
60000.0,0.3125,192000.0,0.046875,213333.33333333334,0.0,Infinity,1000.0,89.7,79.41235258844694,80.56603773584906,78.5862785862786,60000.0,108712.0,41.0,21.0,21.0,5.0,0.0,0.0,1.0
70000.0,0.359375,194782.60869565216,0.046875,213333.33333333334,0.0,Infinity,1000.0,87.9,75.72406487492877,76.03960396039604,73.7527114967462,70000.0,134592.0,51.0,26.0,26.0,5.0,0.0,0.0,1.0
80000.0,0.421875,189629.62962962964,0.0625,160000.0,0.0,Infinity,1000.0,86.4,72.80174068859591,71.06382978723403,71.78423236514523,80000.0,165648.0,63.0,32.0,32.0,6.0,0.0,0.0,1.0
90000.0,0.453125,198620.6896551724,0.03125,320000.0,0.0,Infinity,1000.0,89.9,79.79806061381893,79.88047808764941,79.04564315352698,90000.0,170824.0,65.0,33.0,33.0,6.0,0.0,0.0,1.0
100000.0,0.5,200000.0,0.046875,213333.33333333334,0.0,Infinity,1000.0,88.4,76.8003711940609,76.75350701402806,76.03305785123968,100000.0,176000.0,67.0,34.0,34.0,6.0,0.0,0.0,1.0
110000.0,0.5625,195555.55555555556,0.0625,160000.0,0.0,Infinity,1000.0,90.7,81.39181239745488,80.17057569296375,80.12820512820514,110000.0,191528.0,73.0,37.0,37.0,6.0,0.0,0.0,1.0
120000.0,0.609375,196923.07692307694,0.046875,213333.33333333334,0.0,Infinity,1000.0,88.5,77.0,75.68710359408034,76.2396694214876,120000.0,207056.0,79.0,40.0,40.0,6.0,0.0,0.0,1.0
130000.0,0.65625,198095.2380952381,0.046875,213333.33333333334,0.0,Infinity,1000.0,87.6,75.19513824709642,75.59055118110236,73.39055793991416,130000.0,232552.0,91.0,46.0,46.0,7.0,0.0,0.0,1.0
