Time,Last
12/31/2003,14.47087
1/7/2005,14.56403
2/20/2004,13.54563
4/6/2004,13.4863
5/20/2004,13.5257
7/7/2004,13.29725
8/19/2004,13.76547
10/6/2004,14.22871
11/18/2004,14.07
1/5/2005,15.53995
2/18/2005,15.87602
4/6/2005,16.29003
5/19/2005,16.8762
7/7/2005,16.85211
8/18/2005,15.92453
10/6/2005,14.88642
11/18/2005,14.24518
1/6/2006,14.24169
2/21/2006,15.42238
4/6/2006,15.02972
5/18/2006,14.81429
7/7/2006,15.46392
8/18/2006,17.41511
10/5/2006,16.47328
11/20/2006,17.08266
1/8/2007,17.91247
2/21/2007,18.9639
4/5/2007,20.51454
5/18/2007,21.50409
7/6/2007,19.53931
8/20/2007,19.07388
10/4/2007,20.22072
11/20/2007,20.35726
1/7/2008,21.0605
2/21/2008,20.20278
4/4/2008,20.19541
5/20/2008,20.27186
7/7/2008,20.0902
8/20/2008,21.76538
8/21/2008,21.65346
8/22/2008,21.81762
8/25/2008,21.549
8/26/2008,21.47812
8/27/2008,21.53408
8/28/2008,21.91835
8/29/2008,21.42588
9/2/2008,22.01535
9/3/2008,21.61242
9/4/2008,21.10504
9/5/2008,21.26919
9/8/2008,21.79523
9/9/2008,21.44454
9/10/2008,21.60123
9/11/2008,22.12727
9/12/2008,22.04519
9/15/2008,21.81762
9/16/2008,22.31381
9/17/2008,21.35873
9/18/2008,21.66839
9/19/2008,21.90342
9/22/2008,21.31769
9/23/2008,21.82881
9/24/2008,21.95565
9/25/2008,22.13473
9/26/2008,22.16085
9/29/2008,21.41469
9/30/2008,21.48185
10/1/2008,21.74673
10/2/2008,21.97431
10/3/2008,21.82881
10/6/2008,21.04161
10/7/2008,20.84761
10/8/2008,20.6275
10/9/2008,18.74718
10/10/2008,18.58184
10/13/2008,20.37051
10/14/2008,20.5847
10/15/2008,20.24651
10/16/2008,20.81016
10/17/2008,20.84022
10/20/2008,21.62558
10/21/2008,21.03938
10/22/2008,20.23899
10/23/2008,20.67488
10/24/2008,20.40433
10/27/2008,19.97971
10/28/2008,20.66737
10/29/2008,20.35548
10/30/2008,20.50203
10/31/2008,20.72373
11/3/2008,21.04314
11/4/2008,21.1972
11/5/2008,20.73501
11/6/2008,20.1939
11/7/2008,20.7801
11/10/2008,20.81016
11/11/2008,20.73125
11/12/2008,20.47948
11/13/2008,21.47152
11/14/2008,20.68991
11/17/2008,20.78761
11/18/2008,21.25733
11/19/2008,20.487
11/20/2008,18.92004
11/21/2008,19.35969
11/24/2008,19.08162
11/25/2008,19.24696
11/26/2008,19.30332
11/28/2008,19.68661
12/1/2008,18.84488
12/2/2008,19.52878
12/3/2008,19.97219
12/4/2008,19.55133
12/5/2008,19.82188
12/8/2008,19.88577
12/9/2008,19.52878
12/10/2008,19.35969
12/11/2008,19.17556
12/12/2008,19.07034
12/15/2008,19.40478
12/16/2008,19.97595
12/17/2008,19.5626
12/18/2008,19.5363
12/19/2008,19.64152
12/22/2008,19.80685
12/23/2008,19.71291
12/24/2008,19.78431
12/26/2008,19.7317
12/29/2008,19.60394
12/30/2008,19.97595
12/31/2008,20.05486
1/2/2009,20.12626
1/5/2009,19.78055
1/6/2009,19.13422
1/7/2009,19.02901
1/8/2009,19.23944
1/9/2009,19.22817
1/12/2009,18.81106
1/13/2009,18.94732
1/14/2009,18.72401
1/15/2009,18.62939
1/16/2009,18.89433
1/20/2009,18.62182
1/21/2009,19.80271
1/22/2009,20.06387
1/23/2009,19.98817
1/26/2009,20.4575
1/27/2009,20.58619
1/28/2009,20.80193
1/29/2009,20.97225
1/30/2009,20.98361
2/2/2009,21.03281
2/3/2009,21.56649
2/4/2009,21.1615
2/5/2009,21.39616
2/6/2009,21.63083
2/9/2009,21.66868
2/10/2009,21.11608
2/11/2009,21.08202
2/12/2009,21.24477
2/13/2009,20.79436
2/17/2009,20.41208
2/18/2009,20.51428
2/19/2009,20.61269
2/20/2009,20.44993
2/23/2009,20.21148
2/24/2009,20.71866
2/25/2009,20.29475
2/26/2009,19.14414
2/27/2009,17.91782
3/2/2009,17.80427
3/3/2009,17.34251
3/4/2009,17.85726
3/5/2009,17.42578
